"sensorreadingtime","serialnumber","distancefromobject"
"1655564463634","7f903ba1-42b9-4fd2-9993-a52abd8b2a58","219"
"1655564459234","7f903ba1-42b9-4fd2-9993-a52abd8b2a58","289"
"1655564457034","7f903ba1-42b9-4fd2-9993-a52abd8b2a58","278"
"1655564441634","7f903ba1-42b9-4fd2-9993-a52abd8b2a58","248"
"1655563973002","57c2c78d-3fe1-4baf-befd-c2c6f968e362","284"
"1655563948502","57c2c78d-3fe1-4baf-befd-c2c6f968e362","221"
"1655563938002","57c2c78d-3fe1-4baf-befd-c2c6f968e362","208"
"1655564505442","d9cce27f-ad8f-42d3-ad26-45393bb0ec86","270"
"1655564498110","d9cce27f-ad8f-42d3-ad26-45393bb0ec86","228"
"1655564435788","d9cce27f-ad8f-42d3-ad26-45393bb0ec86","219"
"1655564460526","04451fef-e611-47fe-92bd-a3a5c2b0c9b5","254"
"1655564411804","04451fef-e611-47fe-92bd-a3a5c2b0c9b5","216"
"1655564397474","04451fef-e611-47fe-92bd-a3a5c2b0c9b5","249"
"1655564498616","3d13f9b2-6c4c-4890-bc47-b2074f652548","225"
"1655564430216","3d13f9b2-6c4c-4890-bc47-b2074f652548","257"
"1655564435275","dc110a02-ca1c-447d-b4a1-496dd8e71a67","299"
"1655564418475","dc110a02-ca1c-447d-b4a1-496dd8e71a67","261"
"1655564445527","a655aff1-fc91-4229-9352-a99bac031f6c","233"
"1655564441727","a655aff1-fc91-4229-9352-a99bac031f6c","293"
"1655564422727","a655aff1-fc91-4229-9352-a99bac031f6c","279"
"1655564464764","b2a8fd05-fd08-4bee-bf18-58f0fbeeb98e","295"
"1655564450302","b2a8fd05-fd08-4bee-bf18-58f0fbeeb98e","203"
"1655564480728","5abe8601-a4aa-4e7d-8fe2-852398295f4a","204"
"1655564469928","5abe8601-a4aa-4e7d-8fe2-852398295f4a","218"
"1655564397928","5abe8601-a4aa-4e7d-8fe2-852398295f4a","273"
"1655564461578","ba8b14f2-5aed-405d-93bb-993bc9bb930a","253"
"1655564446248","ba8b14f2-5aed-405d-93bb-993bc9bb930a","249"
"1655564399854","185a5057-22ad-40f3-9dc8-fa21c79bc442","208"
"1655564181962","1f4239eb-cae9-4855-9d32-55a9086fa6d5","252"
"1655564174264","1f4239eb-cae9-4855-9d32-55a9086fa6d5","245"
"1655564507185","f6963c38-0052-43ad-9c41-c5227b996aa2","245"
"1655564419651","58454b73-db15-45e4-8b41-2c896852dfed","249"
"1655564438460","c9bae8e1-0789-41e4-b19c-e926d61e1dbb","203"
"1655564397034","c9bae8e1-0789-41e4-b19c-e926d61e1dbb","267"
"1655564381970","c9bae8e1-0789-41e4-b19c-e926d61e1dbb","208"
"1655564340544","c9bae8e1-0789-41e4-b19c-e926d61e1dbb","250"
"1655564488242","87c5cb83-9de6-49d8-a050-975ee4d2eb9f","247"
"1655564485409","87c5cb83-9de6-49d8-a050-975ee4d2eb9f","279"
"1655564479946","6bf5aff6-e324-4b74-8ca9-472d8467441d","270"
"1655564469282","6bf5aff6-e324-4b74-8ca9-472d8467441d","226"
"1655564455952","6bf5aff6-e324-4b74-8ca9-472d8467441d","290"
"1655564453286","6bf5aff6-e324-4b74-8ca9-472d8467441d","230"
"1655564445288","6bf5aff6-e324-4b74-8ca9-472d8467441d","250"
"1655564132753","1d40609e-ee35-4352-8053-af6186d109f6","280"
"1655564071425","1d40609e-ee35-4352-8053-af6186d109f6","279"
"1655564446675","72ec6b97-0bde-4840-a783-348e2cc0d1a3","267"
"1655564437177","72ec6b97-0bde-4840-a783-348e2cc0d1a3","235"
"1655564124213","531bee92-b009-46df-8663-8f31ee4b1e63","229"
"1655564099951","531bee92-b009-46df-8663-8f31ee4b1e63","292"
"1655564150386","4b510837-515e-4656-b8d5-4f2fe1889fd1","299"
"1655564145920","4b510837-515e-4656-b8d5-4f2fe1889fd1","262"
"1655564101260","4b510837-515e-4656-b8d5-4f2fe1889fd1","250"
"1655564483436","ab6d4e32-de8b-41bc-a724-45b47935076d","231"
"1655564455436","ab6d4e32-de8b-41bc-a724-45b47935076d","300"
"1655564415436","ab6d4e32-de8b-41bc-a724-45b47935076d","218"
"1655564435959","bb575b1d-e53e-477e-aef9-9def2a87e3be","294"
"1655564432126","bb575b1d-e53e-477e-aef9-9def2a87e3be","240"
"1655564424460","bb575b1d-e53e-477e-aef9-9def2a87e3be","284"
"1655564405295","bb575b1d-e53e-477e-aef9-9def2a87e3be","208"
"1655564408856","d23ae91f-62e4-4fea-b0c8-20f49c574a2c","234"
"1655564345928","d23ae91f-62e4-4fea-b0c8-20f49c574a2c","274"
"1655564178645","7a89ca19-ff59-4f5e-a98f-f7edf54d6a8c","210"
"1655564483906","d75787a7-a24c-44aa-abe7-01611f19f43b","253"
"1655564151775","9cebd63f-aa88-49bd-b97e-844e4e8e1c5e","203"
"1655564131975","9cebd63f-aa88-49bd-b97e-844e4e8e1c5e","229"
"1655564114375","9cebd63f-aa88-49bd-b97e-844e4e8e1c5e","241"
"1655564494347","4abb245c-efdc-4255-9cae-f36a300524cb","207"
"1655564454384","4abb245c-efdc-4255-9cae-f36a300524cb","239"
"1655563948553","42c7a46e-b91a-4b21-aead-1cf230a0ed4d","249"
"1655564488317","c87d2224-b0f1-4392-9182-f9f7dcfdf45c","235"
"1655564440861","c87d2224-b0f1-4392-9182-f9f7dcfdf45c","252"
"1655564471449","16b5880e-bf02-455c-b0d8-ae1cebb079f3","281"
"1655563970362","917423f4-6db2-4aff-aa8c-8c8f30eb176b","219"
"1655563967896","917423f4-6db2-4aff-aa8c-8c8f30eb176b","280"
"1655564374176","28167d39-6acf-4f0d-bd6d-459f11c6588a","222"
"1655564471653","57ed0ed3-a3c6-4da6-9547-7811114a758e","265"
"1655564493830","30a55110-aa06-423b-89f0-e72d39c14e5b","265"
"1655564437871","30a55110-aa06-423b-89f0-e72d39c14e5b","300"
"1655564470355","2fea569d-33b9-4087-9a05-68738ee64345","258"
"1655564413961","2fea569d-33b9-4087-9a05-68738ee64345","211"
"1655564392030","2fea569d-33b9-4087-9a05-68738ee64345","212"
"1655564473992","81e76291-995f-429e-84e2-6e8ca0feb9e8","201"
"1655564443064","81e76291-995f-429e-84e2-6e8ca0feb9e8","220"
"1655564396672","81e76291-995f-429e-84e2-6e8ca0feb9e8","268"
"1655564385074","81e76291-995f-429e-84e2-6e8ca0feb9e8","264"
"1655564423482","72da28fa-c373-4ae7-8bc2-72e6fd679690","206"
"1655564399754","72da28fa-c373-4ae7-8bc2-72e6fd679690","263"
"1655564458115","d750c3e3-4a6a-4e50-ad91-9ff1dbf0b78d","252"
"1655564468544","d9e56b51-0c23-4ac1-aeed-3d91f75ec0be","240"
"1655564460012","d9e56b51-0c23-4ac1-aeed-3d91f75ec0be","259"
"1655564173255","b63afb52-077c-4174-888a-6dde92fc7bb1","263"
"1655564132863","b63afb52-077c-4174-888a-6dde92fc7bb1","213"
"1655564129497","b63afb52-077c-4174-888a-6dde92fc7bb1","217"
"1655564159589","15a2d5f0-f00e-4718-af3a-c5c2430381be","291"
"1655564496052","577f942c-bd58-4a47-bf3e-e3a69886dfbe","216"
"1655564470456","577f942c-bd58-4a47-bf3e-e3a69886dfbe","237"
"1655564455525","577f942c-bd58-4a47-bf3e-e3a69886dfbe","242"
"1655564451259","577f942c-bd58-4a47-bf3e-e3a69886dfbe","205"
"1655564501519","536d2059-582f-4f64-ba41-25a4f0ddc60a","207"
"1655564497253","536d2059-582f-4f64-ba41-25a4f0ddc60a","238"
"1655564509111","4dd49d94-facc-4e34-b5ec-281994c1f36a","230"
"1655564488915","4dd49d94-facc-4e34-b5ec-281994c1f36a","231"
"1655563907659","386452f1-79c8-4a6a-90b7-89bd6bf5b0f4","268"
"1655564464542","d171178c-13ef-4fec-83c2-8df0b5eda02a","278"
"1655564414063","b357e335-bdb6-4127-a6cd-5dbdda6aacde","276"
"1655564433298","51993de4-04d3-44c1-b651-f5a1c3dd0f55","298"
"1655564475329","3d5c36e2-8364-4598-9cda-616dfe9acc56","284"
"1655564472396","3d5c36e2-8364-4598-9cda-616dfe9acc56","298"
"1655564451865","3d5c36e2-8364-4598-9cda-616dfe9acc56","260"
"1655564170635","0c3e7793-59dd-4040-8dbf-932470178877","215"
"1655564134635","0c3e7793-59dd-4040-8dbf-932470178877","226"
"1655564025166","7adde419-b54a-4a5e-8c41-957d12782c15","215"
"1655564017966","7adde419-b54a-4a5e-8c41-957d12782c15","255"
"1655563978366","7adde419-b54a-4a5e-8c41-957d12782c15","236"
"1655563971166","7adde419-b54a-4a5e-8c41-957d12782c15","248"
"1655563967566","7adde419-b54a-4a5e-8c41-957d12782c15","234"
"1655564459939","e4bdf2df-aad9-4f1c-a620-8994569af8bf","246"
"1655564425113","e4bdf2df-aad9-4f1c-a620-8994569af8bf","205"
"1655564495357","6798a829-ac92-40f1-ad82-7a256f9dcba9","201"
"1655564464157","6798a829-ac92-40f1-ad82-7a256f9dcba9","232"
"1655564439018","3d51cc18-b0fd-44b2-9676-ee27b2e0ea66","210"
"1655564420424","3d51cc18-b0fd-44b2-9676-ee27b2e0ea66","270"
"1655564492229","caeaba5d-eeff-4389-b832-81179e7e3ee0","231"
"1655564464032","caeaba5d-eeff-4389-b832-81179e7e3ee0","215"
"1655564460899","caeaba5d-eeff-4389-b832-81179e7e3ee0","260"
"1655564417037","caeaba5d-eeff-4389-b832-81179e7e3ee0","259"
"1655564215512","05f22924-dd4b-4da7-9ec6-aaf10bb731d0","250"
"1655564197112","05f22924-dd4b-4da7-9ec6-aaf10bb731d0","239"
"1655564174112","05f22924-dd4b-4da7-9ec6-aaf10bb731d0","204"
"1655564459285","d8fdc8f3-0d5e-4435-a927-1712f4bda9cb","215"
"1655564443513","f212d660-7970-4916-b6eb-e69e6719e800","299"
"1655564429317","f212d660-7970-4916-b6eb-e69e6719e800","284"
"1655563971453","d761f32b-b1e2-4da4-ae3f-681337b813a6","242"
"1655563254188","929e2d47-fb36-4d8f-9954-0696c4ec9019","231"
"1655563186400","929e2d47-fb36-4d8f-9954-0696c4ec9019","243"
"1655563182634","929e2d47-fb36-4d8f-9954-0696c4ec9019","246"
"1655564433925","295f2705-b64f-47c6-99f2-c134ada59033","224"
"1655564465227","021a3a98-f8b6-4cc3-82c2-9a5ef89bd8bf","245"
"1655564450397","021a3a98-f8b6-4cc3-82c2-9a5ef89bd8bf","279"
"1655564438533","021a3a98-f8b6-4cc3-82c2-9a5ef89bd8bf","274"
"1655564471570","8b10f3a3-f5f0-4c15-a822-e9be5fd2c268","204"
"1655564464570","8b10f3a3-f5f0-4c15-a822-e9be5fd2c268","255"
"1655564461070","8b10f3a3-f5f0-4c15-a822-e9be5fd2c268","292"
"1655564422570","8b10f3a3-f5f0-4c15-a822-e9be5fd2c268","300"
"1655564479672","7ba86d07-67eb-4572-937e-fa03d405827c","275"
"1655564392672","7ba86d07-67eb-4572-937e-fa03d405827c","244"
"1655564474169","c41127e0-1c6a-4509-8178-19dac815c6ad","269"
"1655564452469","c41127e0-1c6a-4509-8178-19dac815c6ad","246"
"1655564405969","c41127e0-1c6a-4509-8178-19dac815c6ad","265"
"1655564470515","7b4c901c-847e-4282-b4b1-9c44e0a427f7","252"
"1655564376933","7b4c901c-847e-4282-b4b1-9c44e0a427f7","201"
"1655564385221","a7c15756-4699-40d4-9952-037e01a58b00","289"
"1655564139421","bc49e3fb-d660-4058-87f0-59434133146e","211"
"1655563303539","8b37e67b-4396-4487-8e39-a53e7b12e9d0","258"
"1655563288139","8b37e67b-4396-4487-8e39-a53e7b12e9d0","287"
"1655563244139","8b37e67b-4396-4487-8e39-a53e7b12e9d0","263"
"1655564034884","eb1c5181-3145-40c5-8202-8f086f4261df","209"
"1655563943084","eb1c5181-3145-40c5-8202-8f086f4261df","280"
"1655564148395","05269382-df65-43f7-b6d5-dd1a5b029e5f","273"
"1655564495991","15f4c568-9560-4284-8b25-6fe090c7bdf1","265"
"1655564471791","15f4c568-9560-4284-8b25-6fe090c7bdf1","227"
"1655563967919","39d8889a-d478-4bbc-b7b4-ce7ad3500d0a","277"
"1655564168233","a3c506c4-94f7-4eb4-8db8-d3fec1e2072b","208"
"1655564133733","a3c506c4-94f7-4eb4-8db8-d3fec1e2072b","232"
"1655564113033","a3c506c4-94f7-4eb4-8db8-d3fec1e2072b","284"
"1655564454500","da87fb99-8e30-4396-8834-ae9cb1ab7cc5","281"
"1655564407574","da87fb99-8e30-4396-8834-ae9cb1ab7cc5","295"
"1655564457781","63e7e80d-ea40-41da-8db2-71e3db5267d2","226"
"1655564455348","63e7e80d-ea40-41da-8db2-71e3db5267d2","215"
"1655564490400","f9d4421e-162c-48f9-81d6-6552c1ecca5d","288"
"1655564467200","f9d4421e-162c-48f9-81d6-6552c1ecca5d","207"
"1655564481236","7af6f189-54f3-4da3-99e9-9e00d5833312","271"
"1655564461406","7af6f189-54f3-4da3-99e9-9e00d5833312","255"
"1655564446784","d68fa4e1-656f-4ae0-aa4f-73de4558a942","288"
"1655564450371","217370df-e87b-4477-8b10-05a8ad424fa5","245"
"1655564415713","217370df-e87b-4477-8b10-05a8ad424fa5","287"
"1655564410381","217370df-e87b-4477-8b10-05a8ad424fa5","237"
"1655564511032","b82ba9e0-48cb-45df-8b0b-93a4b8c6ab71","254"
"1655564500867","b82ba9e0-48cb-45df-8b0b-93a4b8c6ab71","203"
"1655564490702","b82ba9e0-48cb-45df-8b0b-93a4b8c6ab71","228"
"1655564483450","23dc7bdd-044a-4d9f-af93-1ab6f4473404","300"
"1655564456500","2a9b19e3-afc1-452b-8831-6fe14f417844","284"
"1655564185020","37b54735-fd49-4bd3-85f2-f5ff41dd186b","292"
"1655564182154","37b54735-fd49-4bd3-85f2-f5ff41dd186b","214"
"1655564139164","37b54735-fd49-4bd3-85f2-f5ff41dd186b","248"
"1655564436896","17b87fb4-029c-4a74-b981-d869243513a8","260"
"1655564433030","17b87fb4-029c-4a74-b981-d869243513a8","284"
"1655564425298","17b87fb4-029c-4a74-b981-d869243513a8","290"
"1655564051058","0382c891-e0a2-4703-b7a6-2eee817fe4ba","274"
"1655564468906","a053743c-f2ab-4394-a06b-7083e57eb46a","297"
"1655564466340","a053743c-f2ab-4394-a06b-7083e57eb46a","213"
"1655564456076","a053743c-f2ab-4394-a06b-7083e57eb46a","294"
"1655564440680","a053743c-f2ab-4394-a06b-7083e57eb46a","233"
"1655564432982","a053743c-f2ab-4394-a06b-7083e57eb46a","240"
"1655564458697","fb85c255-273f-47ef-bb9e-caeccb380b76","238"
"1655564413983","56e3947b-c3b8-489b-80db-d0d0beeca472","299"
"1655564477901","726498e6-e1df-4d76-ba21-10e3db70ef51","295"
"1655564468301","726498e6-e1df-4d76-ba21-10e3db70ef51","268"
"1655564461901","726498e6-e1df-4d76-ba21-10e3db70ef51","242"
"1655564435967","695b1ce7-71e3-4157-bb2d-922ac9a46bd8","222"
"1655564419636","695b1ce7-71e3-4157-bb2d-922ac9a46bd8","254"
"1655564430754","4c88410a-6f36-40ed-b224-ebe3e01593fc","255"
"1655564453256","9d2f683d-7588-41e9-b5af-704a191b2cec","204"
"1655564447924","9d2f683d-7588-41e9-b5af-704a191b2cec","230"
"1655564439926","9d2f683d-7588-41e9-b5af-704a191b2cec","247"
"1655564143296","d1dfdb6a-48bf-477d-b14b-d26238a44515","295"
"1655564121365","d1dfdb6a-48bf-477d-b14b-d26238a44515","296"
"1655564093168","d1dfdb6a-48bf-477d-b14b-d26238a44515","221"
"1655564080636","d1dfdb6a-48bf-477d-b14b-d26238a44515","251"
"1655564068104","d1dfdb6a-48bf-477d-b14b-d26238a44515","262"
"1655564484961","f34f8308-d9cf-4d37-8b22-8335146b3855","283"
"1655564453435","f34f8308-d9cf-4d37-8b22-8335146b3855","277"
"1655564444837","f34f8308-d9cf-4d37-8b22-8335146b3855","269"
"1655564427641","f34f8308-d9cf-4d37-8b22-8335146b3855","253"
"1655564407387","474a3dd2-d8a8-447e-8fa6-6b61b051806e","265"
"1655564394057","474a3dd2-d8a8-447e-8fa6-6b61b051806e","247"
"1655564380727","474a3dd2-d8a8-447e-8fa6-6b61b051806e","256"
"1655564452484","c007feb7-dc9b-4233-9246-ecc7bfa20785","254"
"1655564440084","c007feb7-dc9b-4233-9246-ecc7bfa20785","270"
"1655564430784","c007feb7-dc9b-4233-9246-ecc7bfa20785","256"
"1655562479196","3613e71f-6d4f-4cf1-8c89-23f33441e6c9","202"
"1655562464496","3613e71f-6d4f-4cf1-8c89-23f33441e6c9","298"
"1655564497946","4c554d79-0180-43db-b2c1-41508abda6b3","208"
"1655564494246","4c554d79-0180-43db-b2c1-41508abda6b3","295"
"1655564472046","4c554d79-0180-43db-b2c1-41508abda6b3","251"
"1655564412846","4c554d79-0180-43db-b2c1-41508abda6b3","211"
"1655562691314","07194ed3-18ba-42e1-9771-7b785224df9d","224"
"1655563962033","6594e74a-7a44-401a-912d-c0319d3a8b22","254"
"1655563959267","6594e74a-7a44-401a-912d-c0319d3a8b22","211"
"1655563950969","6594e74a-7a44-401a-912d-c0319d3a8b22","282"
"1655564092458","e2da2120-8592-4620-9f96-820924f22739","249"
"1655564436863","47c4229e-cfb6-4ed7-93c6-228762d91434","291"
"1655564427182","2dc4d5c5-8688-47ae-ba2b-987752ea631e","291"
"1655564423982","2dc4d5c5-8688-47ae-ba2b-987752ea631e","210"
"1655564404782","2dc4d5c5-8688-47ae-ba2b-987752ea631e","231"
"1655564472972","47ac904c-6306-4603-8503-7958b81e6464","258"
"1655564501563","c52ac856-ab6a-41c2-a05f-29aa4716a59a","220"
"1655564496431","c52ac856-ab6a-41c2-a05f-29aa4716a59a","294"
"1655564488733","c52ac856-ab6a-41c2-a05f-29aa4716a59a","205"
"1655564406235","38a5324b-c29a-41b3-aa9d-e2ef921b93af","227"
"1655564412885","bf4a7903-fcc1-42b2-86a6-8d9f6ca8fe6f","220"
"1655564180465","8eca1513-cac8-42eb-994f-f49c22ad3004","280"
"1655564120965","8eca1513-cac8-42eb-994f-f49c22ad3004","300"
"1655564103465","8eca1513-cac8-42eb-994f-f49c22ad3004","254"
"1655564111311","24eefd03-ac3d-4bc6-bca5-52d408201dff","273"
"1655564505615","b3819654-20e8-4c78-b62d-1de36de0c2bb","243"
"1655564472164","40bc8841-2f6f-47ef-9d1a-a3b3c626d4ad","260"
"1655564478188","00c5844e-ebb4-486b-aac6-17a9b9c80449","263"
"1655564407049","a3761b87-c9cb-46d8-b319-bc9d72e7ef49","293"
"1655564381985","a3761b87-c9cb-46d8-b319-bc9d72e7ef49","237"
"1655564369453","a3761b87-c9cb-46d8-b319-bc9d72e7ef49","235"
"1655564472338","cba91a07-0991-4488-a544-5fc35b9ead29","266"
"1655564154566","befd1528-1209-466f-a58d-881bb4a53d28","208"
"1655564147100","befd1528-1209-466f-a58d-881bb4a53d28","260"
"1655564139634","befd1528-1209-466f-a58d-881bb4a53d28","213"
"1655564061241","befd1528-1209-466f-a58d-881bb4a53d28","273"
"1655564130873","85ffd26c-bdb4-4fbb-9b15-88851821ab42","225"
"1655564088745","85ffd26c-bdb4-4fbb-9b15-88851821ab42","298"
"1655564428404","5349e592-84bc-46b0-bc39-4765a69fee45","288"
"1655564109958","e2da2120-8592-4620-9f96-820924f22739","230"
"1655564088958","e2da2120-8592-4620-9f96-820924f22739","233"
"1655564459263","47c4229e-cfb6-4ed7-93c6-228762d91434","230"
"1655564456463","47c4229e-cfb6-4ed7-93c6-228762d91434","211"
"1655564394863","47c4229e-cfb6-4ed7-93c6-228762d91434","285"
"1655564444497","38a5324b-c29a-41b3-aa9d-e2ef921b93af","276"
"1655564414434","38a5324b-c29a-41b3-aa9d-e2ef921b93af","227"
"1655564150971","24eefd03-ac3d-4bc6-bca5-52d408201dff","245"
"1655564437935","40bc8841-2f6f-47ef-9d1a-a3b3c626d4ad","239"
"1655564381140","00c5844e-ebb4-486b-aac6-17a9b9c80449","240"
"1655564454212","48a9612a-0ad5-482c-988a-14b18171bf9b","245"
"1655564445286","ad0073e8-ce4d-47da-b8de-56c691a54860","277"
"1655563287296","83f3627b-7dc2-48e8-b196-fc2914db3ef4","213"
"1655563180214","83f3627b-7dc2-48e8-b196-fc2914db3ef4","223"
"1655564471116","8fe9883f-6d77-49f2-adf1-b4473b1b9690","294"
"1655564480345","671fbf9d-c08a-49a1-a4c1-825046404ba7","294"
"1655564449145","671fbf9d-c08a-49a1-a4c1-825046404ba7","270"
"1655564398445","671fbf9d-c08a-49a1-a4c1-825046404ba7","228"
"1655564436083","a59f2b61-26d3-438f-90b8-11fb2273ef33","299"
"1655564433583","a59f2b61-26d3-438f-90b8-11fb2273ef33","300"
"1655564413583","a59f2b61-26d3-438f-90b8-11fb2273ef33","243"
"1655564460859","e71cd576-4612-49c4-91a6-17f9d5bd1a18","252"
"1655564425199","e71cd576-4612-49c4-91a6-17f9d5bd1a18","203"
"1655564139867","85ecfb57-c7ec-4ba4-b247-432b4fbd3f48","269"
"1655564467077","9803dcbc-f49b-459b-a149-845d47092334","217"
"1655564428450","9803dcbc-f49b-459b-a149-845d47092334","259"
"1655564054962","c31aa712-3e5a-4875-80f0-03d39b6fba97","244"
"1655564487135","9097b03a-de0a-4360-82df-54349d49c184","216"
"1655564101267","a7983496-a008-49d9-b075-696e1740a265","297"
"1655563960766","e23997d6-c5ca-46ec-b483-c7c9afc05a05","258"
"1655564462681","1917aa97-b0b3-4698-b4bf-5622d1333055","285"
"1655564397361","1917aa97-b0b3-4698-b4bf-5622d1333055","268"
"1655564371154","9c467189-f7a0-4422-b4b6-2df48cf3bf0d","238"
"1655564437220","7d59e687-b190-4d1d-b906-d0d1665954f9","277"
"1655564424156","7d59e687-b190-4d1d-b906-d0d1665954f9","226"
"1655564114233","25765bf7-af8a-4439-8a3e-b795d2a5d6a5","268"
"1655564085903","25765bf7-af8a-4439-8a3e-b795d2a5d6a5","246"
"1655564463321","8b7ee672-ab6f-469a-b89b-23c85ea1b84c","225"
"1655564436631","4772b7df-d506-4939-8b34-3b4a620fae94","219"
"1655564419966","4772b7df-d506-4939-8b34-3b4a620fae94","249"
"1655564147324","44208048-6a37-4985-a553-e4ac0a079f21","208"
"1655564436094","55042c8f-b0c4-4f85-99ed-0d338c823efe","277"
"1655564483716","7a3e54d5-7d21-4ece-971e-bac22389ce60","265"
"1655564076173","befd1528-1209-466f-a58d-881bb4a53d28","264"
"1655563170616","25283939-e068-4db0-b55c-d3d4fb701070","287"
"1655564495983","8b7ee672-ab6f-469a-b89b-23c85ea1b84c","260"
"1655564489365","883e7d12-137a-4b4f-9876-5f25bda61a02","293"
"1655564461465","883e7d12-137a-4b4f-9876-5f25bda61a02","239"
"1655564166920","44208048-6a37-4985-a553-e4ac0a079f21","268"
"1655564486210","7d59e687-b190-4d1d-b906-d0d1665954f9","254"
"1655564500649","8b7ee672-ab6f-469a-b89b-23c85ea1b84c","286"
"1655564495145","c57c4d6e-3b2e-4315-9596-ae1ecaf8c729","220"
"1655564425297","7fe111a1-d7c3-4e44-bac1-84eec28b560c","252"
"1655564393305","7fe111a1-d7c3-4e44-bac1-84eec28b560c","253"
"1655564411257","10a463c9-ef23-454e-b5f9-25d0627487a6","224"
"1655564488542","67ce6135-2f06-4129-bde5-f08ed94f94cc","283"
"1655564454742","67ce6135-2f06-4129-bde5-f08ed94f94cc","262"
"1655564004769","5c1a3532-e54a-4c9d-b9f5-d7c9685b82f4","262"
"1655564491317","be786f74-6cc7-444d-bea1-5b50d2cadc7f","202"
"1655564473117","be786f74-6cc7-444d-bea1-5b50d2cadc7f","261"
